"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;3304103,40625;548107,5703125;165693,6210937;450584,0507811;221139,7353515;138784,5678711;332593,7832031;48572,0319214;17902,4123917;47968,2889555;19001,6873169;15309,8005368;328642,1757815;51437,1179351;20170,6676329;59666,3305665;19001,6840288;15309,8005368;3951,60742159997;-2865,08601370001;-2268,2552412;-11698,041611;0,0032881000006455;0
"2";2006;3197812,546875;523133,3789063;159931,8901366;419257,765625;215105,4550782;137484,8916018;332829,6301271;54755,0156859;18403,434845;47632,7245483;20175,1120988;16493,6528316;324872,1848146;57827,3294524;20835,7485962;59197,5467529;20175,1087493;16493,6528316;7957,4453125;-3072,3137665;-2432,3137512;-11564,8222046;0,00334949999887613;0
"3";2007;2777425,453125;450561,4941406;146578,4135742;342306,6298828;207010,4550783;119950,2275389;332936,316162;54296,4285582;18360,3552247;47566,5407714;20482,8904724;16448,5400388;325677,0393065;50245,6237641;20858,6383973;58950,6778564;20482,8892212;16448,5400388;7259,27685550001;4050,8047941;-2498,2831726;-11384,137085;0,00125120000302559;0
"4";2008;2277006,5390625;304170,984375;129638,3481447;246453,5024412;196868,7910156;97670,1157227;333735,9375;53616,9396666;18353,4820557;47630,4871827;20932,9686889;16431,291504;327246,6604004;46218,8905029;20938,8495483;58840,8515626;20932,9665526;16431,2929692;6489,2770996;7398,04916369999;-2585,3674926;-11210,3643799;0,00213630000143894;-0,00146519999907468
"5";2009;1877507,0175781;157584,0625003;117002,3273925;206823,3595582;192304,959961;80083,6645508;333210,098877;52875,9325257;18279,6972046;47488,0189208;21140,3767394;16365,3105468;327173,0229491;45639,3872984;20938,7467498;57990,3044433;21140,3748779;16365,312012;6037,07592789998;7236,5452273;-2659,0495452;-10502,2855225;0,001861499997176;-0,00146519999907468
"6";2010;1952606,9140625;90113,0751953;123391,9638671;138280,5239257;199744,2705078;87422,2145997;332022,9106447;51958,7653809;18163,2889099;47231,1276855;21286,7495115;16265,9208984;326353,9970704;44347,3992919;20800,6782684;47282,9291993;21286,7462461;16265,9208984;5668,91357430001;7611,366089;-2637,3893585;-51,8015137999973;0,0032653999987815;0
"7";2011;3001312,4453125;74361,9584962;167591,9282227;12948,3366089;219957,1113282;145772,6757813;330184,536621;51248,5276794;17639,8872683;46912,5430907;19238,5387881;16166,5327152;324871,3593747;42824,5582427;20086,9936982;33293,0733643;19238,5364074;16166,5341792;5313,17724629998;8423,9694367;-2447,1064299;13619,4697264;0,00238069999977597;-0,00146400000085123
"8";2012;4406158,34375;221245,6757811;203473,861328;4635,4466554;251441,1425782;224436,6679687;243264,0817871;50015,3685912;10408,3973085;46545,6978758;8330,8348771;11876,6650393;243264,083252;41602,5428313;12600,6362764;31945,3577271;8330,833702;11876,6659237;-0,00146490000770427;8412,8257599;-2192,2389679;14600,3401487;0,00117510000018228;-0,000884399998540175
"9";2013;4525063,53125;404468,7128905;203009,2363282;4489,1426086;253697,8027342;223222,3095704;184916,1235353;49514,8480376;10644,3855896;46375,1870729;6948,5416718;9505,9919431;184916,1274414;40769,8005371;12707,0961304;31417,6267091;6948,5406111;9505,9927348;-0,00390609999885783;8745,0475005;-2062,7105408;14957,5603638;0,00106070000038017;-0,000791700000263518
"10";2014;4492002,625;559502,4726562;202907,017578;4367,5508727;254049,4277342;221450,9677736;188924,3103027;41579,0847625;10741,1547852;46204,671814;6633,2741317;9823,3210449;188924,32843;36905,3724975;12701,5155945;30982,4354248;6633,2730388;9823,3216936;-0,0181272999907378;4673,712265;-1960,3608093;15222,2363892;0,00109290000000328;-0,000648699999146629
