"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;2030808,421875;487430,6503907;126161,7875976;332320,8027344;200839,6914062;71500,5502929;280952,6279296;51434,9987183;18564,0472565;47968,2889555;20323,7743529;11766,4685061;280952,6250001;53269,623703;19636,7866898;62390,2893065;20323,772232;11766,4685061;0,0029295000131242;-1834,6249847;-1072,7394333;-14422,000351;0,00212090000059106;0
"2";2006;1724694,984375;450440,4003907;111571,5429686;285804,8251952;191155,4394531;57485,1875001;280666,8471678;54755,0156859;18403,434845;47632,7245483;20525,2066346;12628,1997072;280666,8618165;56951,1637115;19687,5623093;64896,6461182;20525,2052609;12628,2011724;-0,0146487000165507;-2196,1480256;-1284,1274643;-17263,9215699;0,00137370000084047;-0,00146519999907468
"3";2007;1426113,5703125;423555,6523435;97489,6303712;241061,8583985;181870,3701173;43915,2832032;280773,5666503;54296,4285582;18360,3552247;47566,5407714;20823,5504761;12583,0869144;279705,4506837;56691,8075407;19760,9744338;66396,5844726;20823,5482176;12583,0869144;1068,11596660002;-2395,3789825;-1400,6192091;-18830,0437012;0,00225850000060746;0
"4";2008;667787,0742186;393025,8066408;81581,3420411;191145,4252929;171567,7900392;28861,8204346;281573,1918946;53616,9396666;18353,4820557;47630,4871827;21273,6286928;12565,8383784;227873,3376463;56221,9674833;19876,6902468;68108,6015626;21273,626526;12565,8383784;53699,8542483;-2605,02781670001;-1523,2081911;-20478,1143799;0,00216680000085034;0
"5";2009;12727,6249999;413077,9882813;83261,3110351;191504,2807616;182970,3017577;28096,1202392;281047,3159177;52875,9325257;18279,6972046;47488,0189208;21481,0387269;12499,8603516;216702,2907715;55617,5857391;19882,7865296;69040,1032716;21481,0366211;12499,8618168;64345,0251462;-2741,6532134;-1603,089325;-21552,0843508;0,00210579999838956;-0,00146519999907468
"6";2010;0,0048828;525367,2968748;117324,4677736;281338,0566404;221185,5791016;51942,0373536;279860,123535;49504,782959;18163,2889099;47231,1276855;18283,325897;12400,469238;215916,5253908;52266,8971558;19778,3488313;68944,1101073;18283,3236695;12400,469238;63943,5981442;-2762,11419679999;-1615,0599214;-21712,9824218;0,00222750000102678;0
"7";2011;0,0039062;571998,953125;151352,9609376;368017,9277344;236393,6367188;74101,1811524;278021,6884764;38926,9263;18037,7121888;46912,5296631;14859,9303587;12301,0781256;214828,0935059;41835,9507904;19738,6726684;69780,3670655;14859,9297484;12301,0781256;63193,5949705;-2909,0244904;-1700,9604796;-22867,8374024;0,000610299999607378;0
"8";2012;0,0146485;577819,4921875;181009,1552735;454950,3964843;238155,90625;96106,6308594;275942,5612795;37183,6932069;17219,6231383;46545,70636;14214,4995117;12173,583252;213632,2424316;40259,710266;19018,2241973;70726,2497558;14214,498108;12173,583984;62310,3188479;-3076,0170591;-1798,601059;-24180,5433958;0,00140370000008261;-0,000732000000425614
"9";2013;0,0048829;579678,3398438;189795;531141,1210937;238351,5683593;117856,8608398;275024,7839353;36604,2049712;14990,4212342;45076,6607057;14131,5383606;12114,8408208;212974,5573729;39850,2581786;16888,4472657;70593,8647462;14131,5360718;12114,8422848;62050,2265624;-3246,0532074;-1898,0260315;-25517,2040405;0,00228880000031495;-0,00146400000085123
"10";2014;0,0063477;580757,9414062;189879,3642578;555070,0625;238534,0136719;139496,290039;274106,968994;36217,7292937;14934,7945555;39053,7675172;14039,8255311;12056,0991216;212317,6662598;39631,3070067;16930,7743987;65887,8847654;14039,8246459;12056,0991216;61789,3027342;-3413,577713;-1995,9798432;-26834,1172482;0,000885199999174802;0
