"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;1;0,6601897;0,6425864;0,2489761;6,044754;0,6669682;0,0567285;1,0667301;9,7720432;0,0698344;2,3979583;0,0002648;3,7196395;NA;NA;NA;NA;1;2005-01-01
"2";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;2;0,232552;0,226403;0,0665113;1,4077574;0,2985917;0,0152308;0,2083389;1,9032236;0,0321511;1,6251887;0,0004014;1,8464705;NA;NA;NA;NA;1;2005-02-01
"3";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;3;0,5905721;0,5761039;0,1517554;2,8190324;0,5429198;0,03745;0,4095557;4,9776492;0,0541257;2,8474956;0,0004745;3,5261991;NA;NA;NA;NA;1;2005-03-01
"4";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;4;0,344028;0,3364545;0,0756685;1,2226951;0,279951;0,0134661;0,1582869;1,8795375;0,0364851;2,0528901;0,0003578;3,4185221;NA;NA;NA;NA;1;2005-04-01
"5";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;5;0,4161913;0,409237;0,0672636;0,9127534;0,2332381;0,008384;0,0877327;1,1266321;0,0333441;2,3553646;2,92e-05;4,3188963;NA;NA;NA;NA;1;2005-05-01
"6";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;6;0,5544184;0,5494658;0,0678872;0,7678577;0,2849421;0,0072654;0,0702438;0,7376235;0,0444686;2,3858614;0;5,7465439;NA;NA;NA;NA;1;2005-06-01
"7";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;7;0;0;0;0;0;0;0;0;0;0;0,0002375;0;NA;NA;NA;NA;1;2005-07-01
"8";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-08-01
"9";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-09-01
"10";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;10;0,9316011;0,9505312;0,0779657;0,7973486;0,7415817;0,0043655;0,0481206;0,9165753;0,0136819;2,4292793;0;10,0092516;NA;NA;NA;NA;1;2005-10-01
"11";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;11;2,8062921;2,8796415;0,6820606;7,2999849;2,5592754;0,0936949;1,1344301;16,6948757;0,0765358;6,3718648;0,0003903;33,7532425;NA;NA;NA;NA;1;2005-11-01
"12";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;12;1,0285069;1,0583266;0,3086719;3,3860798;0,4846388;0,0504894;0,6004223;9,0934114;0,0565435;2,0916231;0,0004367;5,590034;NA;NA;NA;NA;1;2005-12-01
"13";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;1;1,2861457;1,3180431;0,4385328;3,8401542;0,3078058;0,0898197;0,8919653;11,9515514;0,0727239;2,1672254;0,0003977;3,4729264;NA;NA;NA;NA;1;2006-01-01
"14";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;2;0,3400162;0,348121;0,1012934;0,7357577;0,2651975;0,0205076;0,1735824;1,721298;0,0330005;1,6471181;0,0005011;1,7795663;NA;NA;NA;NA;1;2006-02-01
"15";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;3;0,7318152;0,7491723;0,2122318;1,3890479;0,4945887;0,0444314;0,344785;3,915005;0,0549193;2,9039481;0,0005106;3,454262;NA;NA;NA;NA;1;2006-03-01
"16";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;4;0,4526077;0,464145;0,1087018;0,6629491;0,274131;0,0159045;0,131368;1,7872901;0,0366565;2,0924549;0,0004673;3,372155;NA;NA;NA;NA;1;2006-04-01
"17";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;5;0,4616816;0,4754694;0,0882021;0,4516373;0,2245711;0,0089309;0,0703852;0,9162799;0,034052;2,4008203;8,75e-05;4,2295909;NA;NA;NA;NA;1;2006-05-01
"18";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;6;0,5894633;0,6110854;0,0865124;0,3763995;0,2814447;0,0075572;0,0570472;0,5658481;0,0459662;2,4300439;0;5,6084633;NA;NA;NA;NA;1;2006-06-01
"19";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;7;0;0;0;0;0;0;0;0;0;0;0,0004083;0;NA;NA;NA;NA;1;2006-07-01
"20";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2006-08-01
"21";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2006-09-01
"22";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;10;0,9424832;1,0029259;0,0951546;0,3998786;0,7475536;0,0044207;0,0409371;0,532948;0,0137188;2,4639904;0;9,9793997;NA;NA;NA;NA;1;2006-10-01
"23";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;11;3,0160029;3,2214713;0,856182;4,2118874;2,5819678;0,0959385;0,9908215;14,2350044;0,0786217;6,4529004;0,0004744;33,6378517;NA;NA;NA;NA;1;2006-11-01
"24";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;12;1,1554165;1,2349759;0,3957052;2,058953;0,480153;0,0528703;0,5279768;8,0879421;0,0576659;2,1117129;0,0004509;5,5130596;NA;NA;NA;NA;1;2006-12-01
"25";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;1;1,2434235;1,3264415;0,5220361;3,9031503;0,3829227;0,087141;0,776751;11,8636732;0,0716681;2,185822;0,0003525;3,5426288;NA;NA;NA;NA;1;2007-01-01
"26";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;2;0,4124044;0,4394865;0,1350203;0,9575287;0,2770572;0,0218236;0,1551234;2,5294683;0,0330413;1,6603657;0,0005307;1,7818503;NA;NA;NA;NA;1;2007-02-01
"27";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;3;0,8473986;0,9033788;0,2761641;2,0126505;0,5382822;0,045601;0,3108729;5,5928645;0,0548997;2,9259913;0,0005321;3,4534512;NA;NA;NA;NA;1;2007-03-01
"28";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;4;0,46888;0,5004139;0,1334592;0,9520718;0,2819196;0,0157545;0,1185249;2,3523045;0,0368427;2,1072378;0,0004289;3,379982;NA;NA;NA;NA;1;2007-04-01
"29";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;5;0,4909081;0,5258595;0,1093807;0,7237479;0,2372756;0,009176;0,0635149;1,5544672;0,0345047;2,4163618;9,95e-05;4,2176638;NA;NA;NA;NA;1;2007-05-01
"30";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;6;0,6179302;0,6658393;0,1061278;0,6473542;0,2901443;0,0077457;0,052211;0,9738145;0,0433798;2,44449;0;5,7092605;NA;NA;NA;NA;1;2007-06-01
"31";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;7;0;0;0;0;0;0;0;0;0;0;0,000236;0;NA;NA;NA;NA;1;2007-07-01
"32";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2007-08-01
"33";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2007-09-01
"34";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;10;0,9181532;1,013906;0,110812;0,542011;0,7548658;0,0044268;0,0378579;0,7307185;0,0137446;2,474895;0;9,9341955;NA;NA;NA;NA;1;2007-10-01
"35";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;11;2,9451425;3,2656288;0,9962195;6,7226143;2,5982227;0,0963263;0,908787;8,6095562;0,0692751;6,4827166;0;33,0281868;NA;NA;NA;NA;1;2007-11-01
"36";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;12;1,3617638;1,5111656;0,5062122;2,4386892;0,4861789;0,0562983;0,4811468;10,2093697;0,0603003;2,1223335;0,0005011;5,2754388;NA;NA;NA;NA;1;2007-12-01
"37";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;1;1,0945917;1,2087947;0,5737275;2,4806082;0,3055183;0,0848136;0,7489336;8,9988155;0,0702474;2,1964629;0,0002961;3,549021;NA;NA;NA;NA;1;2008-01-01
"38";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;2;0,3574004;0,3940596;0,1470225;0,6330689;0,2626099;0,0214574;0,1452346;1,745788;0,0323123;1,6677186;0,0004271;1,834851;NA;NA;NA;NA;1;2008-02-01
"39";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;3;0,7899714;0,8700266;0,3113862;1,6031944;0,4908642;0,0467289;0,2875521;4,7749076;0,0539269;2,9375994;0,0004451;3,5489423;NA;NA;NA;NA;1;2008-03-01
"40";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;4;0,4480203;0,4939179;0,1520663;0,7367986;0,273048;0,0161644;0,1113339;1,798821;0,0356832;2,115145;0,00025;3,4731901;NA;NA;NA;NA;1;2008-04-01
"41";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;5;0,4785503;0,5292886;0,1256094;0,5556411;0,2257647;0,0093283;0,0569828;1,0909793;0,0334426;2,423631;2,02e-05;4,3458815;NA;NA;NA;NA;1;2008-05-01
"42";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;6;0,599935;0,6669917;0,1211759;0,4747399;0,2829092;0,0078159;0,0475555;0,727519;0,0441125;2,4506917;0;5,7511244;NA;NA;NA;NA;1;2008-06-01
"43";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;7;0;0;0;0;0;0;0;0;0;0;0,000236;0;NA;NA;NA;NA;1;2008-07-01
"44";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2008-08-01
"45";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2008-09-01
"46";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;10;0,9535666;1,0835098;0,1299172;0,5777115;0,7507598;0,0045356;0,0345766;0,903867;0,0136868;2,4791832;0;9,9684095;NA;NA;NA;NA;1;2008-10-01
"47";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;11;3,0330048;3,4549496;1,1606621;6,3167896;2,5886433;0,0973392;0,8620501;16,6747131;0,0750415;6,4985232;0,0002078;33,6000328;NA;NA;NA;NA;1;2008-11-01
"48";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;12;1,0301734;1,1738988;0,5036553;3,0778997;0,4776832;0,0514387;0,4614684;9,0934114;0,0561532;2,1305485;0,0003438;5,5990825;NA;NA;NA;NA;1;2008-12-01
"49";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;1;1,2542166;1,4206964;0,7030362;3,5952442;0,302493;0,0905596;0,7002354;11,9515514;0,0723769;2,2051418;0,0003091;3,4984303;NA;NA;NA;NA;1;2009-01-01
"50";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;2;0,3316856;0,3751063;0,1619299;0,6887606;0,260914;0,0208359;0,1372053;1,721298;0,0328628;1,6735997;0,0003953;1,7927018;NA;NA;NA;NA;1;2009-02-01
"51";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;3;0,7073418;0,798995;0,3362828;1,318988;0,4873286;0,0451181;0,2746496;3,915005;0,0546565;2,9465513;0,0003989;3,4832211;NA;NA;NA;NA;1;2009-03-01
"52";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;4;0,4424564;0,5000847;0,1722275;0,6375155;0,2699571;0,0162823;0,1033142;1,7872901;0,0365966;2,1213114;0,0003186;3,3991866;NA;NA;NA;NA;1;2009-04-01
"53";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;5;0,4573314;0,5184281;0,1396023;0,436453;0,2215974;0,0092078;0,0536628;0,9162799;0,0338876;2,4287307;3,12e-05;4,2740045;NA;NA;NA;NA;1;2009-05-01
"54";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;6;0,585821;0,6673054;0,1357819;0,3648871;0,2785871;0,0077994;0,0451433;0,5658481;0,0445992;2,4546978;0;5,6956868;NA;NA;NA;NA;1;2009-06-01
"55";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;7;0;0;0;0;0;0;0;0;0;0;0,0001604;0;NA;NA;NA;NA;1;2009-07-01
"56";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2009-08-01
"57";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2009-09-01
"58";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;10;0,925616;1,0762234;0,1439439;0,3906654;0,6924192;0,0045555;0,0332096;0,532948;0,0137027;2,4816835;0;9,8825817;NA;NA;NA;NA;1;2009-10-01
"59";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;11;2,9337993;3,4191475;1,2823663;4,1690984;2,4085209;0,0970317;0,8318151;14,2350044;0,0764799;6,5107121;0,0002659;33,3596649;NA;NA;NA;NA;1;2009-11-01
"60";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;12;1,0995727;1,2812752;0,5845707;2,0390143;0,4574841;0,0533268;0,4480239;8,0879421;0,0573335;2,1382735;0,0003464;5,5045791;NA;NA;NA;NA;1;2009-12-01
"61";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;1;1,1786216;1,3728954;0,7669731;3,894444;0,3207266;0,0900318;0,6932755;11,8636732;0,0699221;2,2134712;0,0002648;3,613703;NA;NA;NA;NA;1;2010-01-01
"62";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;2;0,3899897;0,4539457;0,1976811;0,9549083;0,2517062;0,0229393;0,1391781;2,5294683;0,0325618;1,6792051;0,0004014;1,8124545;NA;NA;NA;NA;1;2010-02-01
"63";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;3;0,8101385;0,9427751;0,405312;2,0156767;0,514204;0,0476393;0,284718;5,5928645;0,0545574;2,9549692;0,0004083;3,4865837;NA;NA;NA;NA;1;2010-03-01
"64";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;4;0,4615268;0,5372792;0,1979107;0,9623018;0,2311376;0,0154295;0,1075417;2,3523045;0,0357309;2,1271372;0,0001918;3,4443004;NA;NA;NA;NA;1;2010-04-01
"65";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;5;0,4942958;0,5773383;0,1631853;0,7353954;0,1555139;0,0081652;0,0572272;1,5544672;0,0329346;2,4333456;3e-07;4,3299909;NA;NA;NA;NA;1;2010-05-01
"66";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;6;0,6133301;0,7184197;0,1558362;0,6541837;0,2236866;0,007225;0,0485608;0,9738145;0,0392612;2,4581876;0;5,7699194;NA;NA;NA;NA;1;2010-06-01
"67";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;7;0;0;0;0;0;0;0;0;0;0;4,78e-05;0;NA;NA;NA;NA;1;2010-07-01
"68";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2010-08-01
"69";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2010-09-01
"70";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;10;0,8812829;1,0524222;0,1562145;0,5376317;0,665653;0,0045388;0,0349115;0,7307185;0,0137173;2,4837544;0;9,6667995;NA;NA;NA;NA;1;2010-10-01
"71";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;11;2,7056963;3,2288792;1,3678757;6,6674862;2,3249214;0,0949492;0,8130016;8,6095562;0,0692942;6,5222254;0;32,2155266;NA;NA;NA;NA;1;2010-11-01
"72";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;12;1,3039223;1,5579851;0,7081188;2,4468439;0,4339774;0,0571193;0,4486434;10,2093697;0,0595654;2,146071;0,0003823;5,2274566;NA;NA;NA;NA;1;2010-12-01
"73";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;1;1,055649;1,2579681;0,8064823;2,4900899;0,3651078;0,0841081;0,6654568;8,9988155;0,0721055;2,2219274;0,000249;3,4601197;NA;NA;NA;NA;1;2011-01-01
"74";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;2;0,3500118;0,4163719;0,2078976;0,6382606;0,2680636;0,0212723;0,1332475;1,745788;0,0317876;1,6848844;0,000335;1,8493514;NA;NA;NA;NA;1;2011-02-01
"75";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;3;0,776684;0,9231617;0,4402059;1,6169924;0,5216083;0,0460012;0,2720866;4,7749076;0,0534814;2,9634669;0,0003613;3,5732682;NA;NA;NA;NA;1;2011-03-01
"76";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;4;0,4280229;0,5087585;0,2111862;0,7342715;0,2429899;0,0148856;0,1012649;1,798821;0,0359975;2,1330261;0,0001635;3,4671164;NA;NA;NA;NA;1;2011-04-01
"77";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;5;0,480281;0,5721856;0,1780429;0,5625136;0,1680661;0,0082304;0,053114;1,0909793;0,0325092;2,4379563;0;4,3983364;NA;NA;NA;NA;1;2011-05-01
"78";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;6;0,5982021;0,7151771;0,1701601;0,479587;0,2213702;0,007277;0,0449649;0,727519;0,0407919;2,4616368;0;5,8274703;NA;NA;NA;NA;1;2011-06-01
"79";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;7;0;0;0;0;0;0;0;0;0;0;5,49e-05;0;NA;NA;NA;NA;1;2011-07-01
"80";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2011-08-01
"81";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2011-09-01
"82";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;10;0,9295035;1,1325206;0,1770748;0,5774164;0,6626201;0,0046814;0,0332086;0,903867;0,0136479;2,4857705;0;9,7311945;NA;NA;NA;NA;1;2011-10-01
"83";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;11;2,9883444;3,6499209;1,5869712;6,3356481;2,3071494;0,099053;0,8118656;16,6747131;0,072834;6,5338306;6,95e-05;32,7851944;NA;NA;NA;NA;1;2011-11-01
"84";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;12;0,9895734;1,2098584;0,6788846;3,0707345;0,4474128;0,0518383;0,4380259;9,0934114;0,0556619;2,1540544;0,0002744;5,5405827;NA;NA;NA;NA;1;2011-12-01
"85";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;1;1,21138;1,4700025;0,9482573;3,5877528;0,290321;0,0910712;0,6659583;11,9515514;0,0722783;2,2305977;0,0002541;3,4920657;NA;NA;NA;NA;1;2012-01-01
"86";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;2;0,3205231;0,3881291;0,2181652;0,6852114;0,2540575;0,0210341;0,1324655;1,721298;0,032805;1,6907066;0,0003326;1,7951055;NA;NA;NA;NA;1;2012-02-01
"87";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;3;0,6824843;0,8248174;0,4518296;1,3121592;0,4740474;0,0455301;0,2594768;3,915005;0,0545952;2,9721744;0,000328;3,4914773;NA;NA;NA;NA;1;2012-03-01
"88";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;4;0,4265946;0,5154667;0,230694;0,6342086;0,2355291;0,0154866;0,0986526;1,7872901;0,0369104;2,1390641;0,0002122;3,4096541;NA;NA;NA;NA;1;2012-04-01
"89";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;5;0,4475708;0,5419375;0,187741;0,4355401;0,1596233;0,0081561;0,0511359;0,9162799;0,0341584;2,4426763;2e-07;4,3055277;NA;NA;NA;NA;1;2012-05-01
"90";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;6;0,5785118;0,7028272;0,1825713;0,3655816;0,2168059;0,0073088;0,0431324;0,5658481;0,0427145;2,4651647;0;5,7754683;NA;NA;NA;NA;1;2012-06-01
"91";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;7;0;0;0;0;0;0;0;0;0;0;5,88e-05;0;NA;NA;NA;NA;1;2012-07-01
"92";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2012-08-01
"93";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2012-09-01
"94";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;10;0,8987441;1,1113445;0,1891729;0,3878702;0,6615465;0,0046619;0,0316023;0,532948;0,0137043;2,4878361;0;9,7234287;NA;NA;NA;NA;1;2012-10-01
"95";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;11;2,8898542;3,5778985;1,6934618;4,1705656;2,3071146;0,0982855;0,8039014;14,2350044;0,0755571;6,5457525;0,000157;32,8625717;NA;NA;NA;NA;1;2012-11-01
"96";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;12;1,0623741;1,3142906;0,7635247;2,0328763;0,4406053;0,0537274;0,4330342;8,0879421;0,0571511;2,1622643;0,0002864;5,4644713;NA;NA;NA;NA;1;2012-12-01
"97";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2013;1;1,1304361;1,3968246;0,996454;3,8973835;0,311233;0,0901998;0,6376455;11,8636732;0,0697179;2,2395132;0,0002194;3,6143541;NA;NA;NA;NA;1;2013-01-01
"98";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2013;2;0,3774798;0,4658804;0,2577081;0,9576421;0,2453271;0,0231496;0,1356354;2,5294683;0,032546;1,6966925;0,0003375;1,8139083;NA;NA;NA;NA;1;2013-02-01
"99";"C:/Users/siahl/Documents/NutsforSEDHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2013;3;0,7827972;0,9652631;0,5270907;2,0193148;0,5012771;0,0480608;0,2768906;5,5928645;0,0545744;2,9811256;0,0003428;3,4919415;NA;NA;NA;NA;1;2013-03-01
