"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;2016652,859375;495977,1523437;126267,4052735;331205,5312502;192928,8496093;72740,0126952;279772,9833984;51968,5703429;18572,7125093;47876,7631682;19674,5932997;12268,7973628;279772,9941404;53803,2006684;19645,4546738;62298,7690429;19674,595581;12268,7973628;-0,0107419999549165;-1834,6303255;-1072,7421645;-14422,0058747;-0,00228129999959492;0
"2";2006;1710539,109375;458660,1835937;111722,5820313;284813,3652344;183346,9628904;57595,9765625;283790,533203;56796,2772827;18657,3355408;48209,3356321;20425,9038695;13359,65625;283790,5422365;58992,4361112;19941,4666367;65473,2669679;20425,9043884;13359,65625;-0,00903349998407066;-2196,1588285;-1284,1310959;-17263,9313358;-0,000518900000315625;0
"3";2007;1416200,8359375;430366,8906252;97601,713379;239976,0390625;174025,0859374;43146,0275878;280666,8471678;54755,0156859;18403,434845;47632,7245483;20525,2066346;13151,7070308;280666,8496094;57150,3990936;19804,0568008;66462,7744141;20525,2063905;13151,7070308;-0,00244160002330318;-2395,3834077;-1400,6219558;-18830,0498658;0,000244099999690661;0
"4";2008;720319,6484376;400033,7343751;81686,7368164;190035,5371091;163694,5146485;27025,3187256;280773,5666503;54296,4285582;18360,3552247;47566,5407714;20823,5504761;13106,5957032;233748,0527343;56901,4620818;19883,5635987;68044,6625977;20823,5512086;13106,5957032;47025,513916;-2605,0335236;-1523,208374;-20478,1218263;-0,000732500000594882;0
"5";2009;5719,6699219;409275,0468749;80315,3232424;181904,9213867;169650,9345703;23414,0141602;281573,1918946;53616,9396666;18353,4820557;47630,4871827;21273,6286928;13089,3457032;212684,3825682;56366,0189665;19960,9159546;69240,9191894;21273,6304019;13089,3457032;68888,8093264;-2749,0792999;-1607,4338989;-21610,4320067;-0,00170910000088043;0
"6";2010;0;537457,8125001;118378,6152344;282709,6279297;215060,0927733;50795,4355467;281047,3159177;50153,7225647;18279,6972046;47488,0189208;18256,2472229;13023,3676752;212433,9733887;52909,956848;19891,3169861;69154,7539061;18256,2474974;13023,3676752;68613,342529;-2756,2342833;-1611,6197815;-21666,7349853;-0,000274500001978595;0
"7";2011;0,0029297;585812,4414062;155316,2958983;377021,4843751;230448,9882813;74766,0249023;279860,123535;38049,736084;18163,2889099;47231,1276855;14185,9897154;12923,9765628;213576,9277345;40956,9150543;19863,1697387;70084,4299316;14185,9902342;12923,9765628;66283,1958005;-2907,1789703;-1699,8808288;-22853,3022461;-0,000518799999554176;0
"8";2012;0,0058594;590298,859375;183268,3222656;476110,1875002;231493,9101563;99839,7695314;278021,6884764;36480,7856749;16460,5527649;46912,5296631;13545,7824096;12824,5854492;208972,5336914;39549,083496;18254,6392821;71032,3381346;13545,7829287;12824,5854492;69049,154785;-3068,2978211;-1794,0865172;-24119,8084715;-0,000519100000019534;0
"9";2013;0,0043945;592607,0664064;190166,9462891;542898,1015625;231761,7597657;124663,8769531;275942,5612795;35727,4588318;14717,7784118;42229,6965943;13464,1264649;12697,0913088;208681,184082;38961,83963;16608,977524;67655,0888671;13464,1265868;12697,0913088;67261,3771975;-3234,3807982;-1891,1991122;-25425,3922728;-0,000121899998703157;0
"10";2014;0,0024415;593456,6992186;190141,6289063;558090,3242188;231704,6914064;148022,1982422;275024,7543946;35609,5898439;14791,2790528;38644,038147;13561,2356264;12638,3466792;210293,6738281;39014,9921568;16782,4789429;65413,8647461;13561,2358704;12638,3452152;64731,0805665;-3405,4023129;-1991,1998901;-26769,8265991;-0,000243999998929212;0,00146400000085123
"11";2015;0,0029298;594779,2890626;190394,5302734;558875,5820312;232037,4160156;170484,9121093;274106,968994;34876,2957;14559,4693602;37970,9359741;13314,2142031;12298,4243163;206450,1115723;38440,6141969;16643,5868377;65989,9797364;13314,2153625;12298,4255373;67656,8574217;-3564,3184969;-2084,1174775;-28019,0437623;-0,00115939999886905;-0,00122100000044156
