;;Residue+L1+L2+L3;;;;;;;L1+L2+L3;;;;;;;Coarse litter (L1);;;;;;;Fine litter (L2);;;;;;;Humus (L3);;;;;;;
YEAR;Month;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha
        2005;           1;   5938.9897461;    155.3585968;    125.0915909;     23.3605175;     22.3102684;     18.9295635;     13.6449213;   5938.9897461;    155.3585968;    125.0915909;     23.3605175;     22.3102684;     18.9295635;     13.6449213;   2539.3229980;     66.2850723;     53.5533752;     10.0067930;      9.6224298;      8.1088047;      5.8198786;     21.8452473;      0.6335958;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0589025;   3377.8212891;     88.4399185;     71.5382156;     13.3537226;     12.6878386;     10.8207588;      7.7661414
        2005;           2;   5944.6157227;    155.3399963;    124.4570160;     23.2541409;     22.3446255;     18.8435078;     13.6459522;   5944.6157227;    155.3399963;    124.4570160;     23.2541409;     22.3446255;     18.8435078;     13.6459522;   2528.1396484;     65.7581024;     53.0455666;      9.9240828;      9.6792698;      8.0419264;      5.7727504;     44.2588387;      1.2813246;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.1191099;   3372.2175293;     88.3005905;     71.4114456;     13.3300581;     12.6653538;     10.8015833;      7.7540917
        2005;           3;   5946.6674805;    155.2487793;    123.6251221;     23.1108704;     22.3431511;     18.7275543;     13.6415768;   5946.6674805;    155.2487793;    123.6251221;     23.1108704;     22.3431511;     18.7275543;     13.6415768;   2509.1838379;     65.0289688;     52.3746719;      9.8108625;      9.7063503;      7.9503241;      5.7078743;     72.0746918;      2.0821724;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.1935382;   3365.4094238;     88.1376343;     71.2504578;     13.3000069;     12.6367998;     10.7772322;      7.7401643
        2005;           4;   5941.5947266;    155.0597534;    122.7391052;     22.9531002;     22.2786560;     18.5998039;     13.6290293;   5941.5947266;    155.0597534;    122.7391052;     22.9531002;     22.2786560;     18.5998039;     13.6290293;   2483.1755371;     64.2003632;     51.6529465;      9.6837616;      9.6709938;      7.8474207;      5.6345744;     99.6461258;      2.8739724;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.2671177;   3358.7727051;     87.9854126;     71.0861740;     13.2693396;     12.6076622;     10.7523823;      7.7273369
        2005;           5;   5943.3520508;    154.9328918;    121.6734772;     22.7692318;     22.2726250;     18.4509888;     13.6227341;   5943.3520508;    154.9328918;    121.6734772;     22.7692318;     22.2726250;     18.4509888;     13.6227341;   2458.7165527;     63.2683334;     50.7974472;      9.5391169;      9.7022305;      7.7303905;      5.5516682;    133.8469696;      3.8511672;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.3579059;   3350.7888184;     87.8133926;     70.8760376;     13.2301159;     12.5703926;     10.7205973;      7.7131610
        2005;           6;   5945.3364258;    154.8235321;    120.7103195;     22.6034412;     22.2720375;     18.3168106;     13.6175795;   5945.3364258;    154.8235321;    120.7103195;     22.6034412;     22.2720375;     18.3168106;     13.6175795;   2437.1928711;     62.4334564;     50.0276070;      9.4094124;      9.7359314;      7.6254544;      5.4773660;    164.2963409;      4.7168522;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.4383170;   3343.8474121;     87.6732178;     70.6827087;     13.1940289;     12.5361052;     10.6913567;      7.7018971
        2005;           7;   5960.7509766;    155.0194550;    120.7136536;     22.6153393;     22.4097290;     18.3265858;     13.6345377;   5960.7509766;    155.0194550;    120.7136536;     22.6153393;     22.4097290;     18.3265858;     13.6345377;   2450.2258301;     62.5561447;     50.0507736;      9.4250126;      9.8771381;      7.6382294;      5.4873414;    167.3899689;      4.8044705;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.4464544;   3343.1347656;     87.6588364;     70.6628799;     13.1903276;     12.5325880;     10.6883564;      7.7007408
        2005;           8;   5986.3623047;    155.3680420;    120.8835144;     22.6636543;     22.6418266;     18.3659344;     13.6639748;   5986.3623047;    155.3680420;    120.8835144;     22.6636543;     22.6418266;     18.3659344;     13.6639748;   2475.8347168;     62.9046707;     50.2206535;      9.4733324;     10.1092405;      7.6775799;      5.5167718;    167.3934021;      4.8045673;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.4464633;   3343.1345215;     87.6588211;     70.6628571;     13.1903238;     12.5325851;     10.6883535;      7.7007399
        2005;           9;   6020.1855469;    155.7192078;    120.3102951;     22.5884476;     22.9267387;     18.3053665;     13.6970587;   6020.1855469;    155.7192078;    120.3102951;     22.5884476;     22.9267387;     18.3053665;     13.6970587;   2489.9528809;     62.6580963;     49.8066826;      9.4278498;     10.4224005;      7.6411004;      5.4928718;    192.5122375;      5.5044131;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.5114138;   3337.7207031;     87.5566940;     70.5036163;     13.1605978;     12.5043411;     10.6642656;      7.6927729
        2005;          10;   6156.7631836;    157.4674835;    120.3747940;     22.6983414;     24.1280994;     18.3955727;     13.8484478;   6156.7631836;    157.4674835;    120.3747940;     22.6983414;     24.1280994;     18.3955727;     13.8484478;   2604.5407715;     63.7614403;     50.0389862;      9.5690680;     11.6535234;      7.7566905;      5.5828376;    219.8854675;      6.2433233;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.5798937;   3332.3366699;     87.4627228;     70.3358002;     13.1292744;     12.4745779;     10.6388845;      7.6857162
        2005;          11;   6201.9858398;    158.0022736;    120.0537720;     22.6743660;     24.5082779;     18.3765697;     13.8964300;   6201.9858398;    158.0022736;    120.0537720;     22.6743660;     24.5082779;     18.3765697;     13.8964300;   2633.3393555;     63.8186722;     49.8427429;      9.5683813;     12.0558290;      7.7565589;      5.5853205;    240.1469574;      6.7838354;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.6299599;   3328.4992676;     87.3997879;     70.2110291;     13.1059818;     12.4524488;     10.6200113;      7.6811500
        2005;          12;   6211.3095703;    158.0594788;    119.5772400;     22.5971851;     24.5669651;     18.3141727;     13.9037342;   6211.3095703;    158.0594788;    119.5772400;     22.5971851;     24.5669651;     18.3141727;     13.9037342;   2628.4580078;     63.4626045;     49.4752350;      9.5115566;     12.1338587;      7.7106538;      5.5532207;    257.5777283;      7.2467408;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.6728289;   3325.2739258;     87.3501358;     70.1019974;     13.0856295;     12.4331112;     10.6035175;      7.6776843
        2006;           1;   6212.2524414;    157.9922333;    118.9622574;     22.4896622;     24.5462723;     18.2271271;     13.9009438;   6212.2524414;    157.9922333;    118.9622574;     22.4896622;     24.5462723;     18.2271271;     13.9009438;   2613.1057129;     62.9197845;     48.9870834;      9.4277029;     12.1356525;      7.6427908;      5.5050411;    277.4441833;      7.7725296;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.7215139;   3321.7031250;     87.2999039;     69.9751816;     13.0619593;     12.4106226;     10.5843391;      7.6743889
        2006;           2;   6217.4990234;    157.9906158;    118.4288025;     22.3995876;     24.5672455;     18.1542530;     13.9026356;   6217.4990234;    157.9906158;    118.4288025;     22.3995876;     24.5672455;     18.1542530;     13.9026356;   2603.5080566;     62.4842644;     48.5706177;      9.3594694;     12.1773748;      7.5876126;      5.4652863;    295.4389648;      8.2468328;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.7654149;   3318.5520020;     87.2595139;     69.8581772;     13.0401192;     12.3898716;     10.5666409;      7.6719327
        2006;           3;   6221.5439453;    157.9668427;    117.8392487;     22.2988071;     24.5753689;     18.0726967;     13.9026842;   6221.5439453;    157.9668427;    117.8392487;     22.2988071;     24.5753689;     18.0726967;     13.9026842;   2591.5263672;     61.9909401;     48.1090126;      9.2825699;     12.2081909;      7.5254087;      5.4204521;    314.7363586;      8.7533054;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.8122746;   3315.2812500;     87.2226028;     69.7302399;     13.0162344;     12.3671789;     10.5472870;      7.6699581
