YEAR;Month;Dry weight g/m²;N µmol/g;Ca µmol/g;Mg µmol/g;K µmol/g;S µmol/g;P µmol/g;N µmol/m²;Ca µmol/m²;Mg µmol/m²;K µmol/m²;S µmol/m²;P µmol/m²
        2005;           1;     31.8964596;    483.8142395;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     18.5548916;   1543.1961670;    264.0749512;    123.8338623;    369.6577148;     76.4420853;     59.1835365
        2005;           2;     38.0824356;    483.8142395;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     18.5548916;   1842.4825439;    315.2894592;    147.8501129;    441.3488770;     91.2672043;     70.6615524
        2005;           3;     38.6623726;    483.8142395;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     18.5548916;   1870.5406494;    320.0908203;    150.1016388;    448.0699158;     92.6570587;     71.7376099
        2005;           4;     25.5171680;    483.8142395;     82.7913055;     38.8237000;    115.8930206;     23.9656944;     18.5548916;   1234.5568848;    211.2599640;     99.0670853;    295.7261658;     61.1536636;     47.3468285
        2005;           5;     49.9388962;    483.8142395;     82.7913055;     38.8237000;    115.8930283;     23.9656944;     18.5548916;   2416.1149902;    413.4506531;    193.8812866;    578.7570190;    119.6820374;     92.6610870
        2005;           6;     47.2325325;    483.8142090;     82.7913055;     38.8237000;    115.8930283;     23.9656925;     18.5548916;   2285.1770020;    391.0443115;    183.3741608;    547.3921509;    113.1960373;     87.6394501
        2005;           7;     35.2471962;    483.8141785;     82.7913055;     38.8237000;    115.8930283;     23.9656925;     18.5548916;   1705.3093262;    291.8161621;    136.8426666;    408.4904480;     84.4723511;     65.4007950
        2005;           8;     51.2276459;    483.8141785;     82.7913055;     38.8237000;    115.8930206;     23.9656925;     18.5548916;   2478.4660645;    424.1203613;    198.8846741;    593.6926880;    122.7705994;     95.0523453
        2005;           9;    104.1950989;    483.8141785;     82.7913055;     38.8237000;    115.8930206;     23.9656925;     18.5548916;   5041.1064453;    862.6448364;    404.5239258;   1207.5484619;    249.7107697;    193.3328705
        2005;          10;    313.1652222;    483.8141785;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     18.5548916;  15151.3779297;   2592.7358398;   1215.8231201;   3629.3664551;    750.5221558;    581.0747070
        2005;          11;    120.6266022;    483.8141785;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     18.5548916;   5836.0859375;    998.6834106;    468.3170471;   1397.9781494;    289.0899963;    223.8213501
        2005;          12;     45.2349777;    483.8141785;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     18.5548916;   2188.5322266;    374.5062561;    175.6188965;    524.2418213;    108.4087524;     83.9330063
        2006;           1;     33.0866318;    483.8141785;     82.7913055;     38.8236961;    115.8930283;     23.9656925;     18.5548935;   1600.7781982;    273.9285583;    128.4545441;    383.4510193;     79.2944107;     61.3918953
        2006;           2;     39.5034332;    483.8141785;     82.7912979;     38.8236961;    115.8930283;     23.9656944;     17.8616924;   1911.2321777;    327.0540466;    153.3669281;    457.8172607;     94.6727219;     70.5598221
        2006;           3;     40.1050110;    483.8141785;     82.7912979;     38.8236961;    115.8930283;     23.9656944;     17.8458405;   1940.3371582;    332.0345764;    155.7024689;    464.7890930;     96.1144409;     71.5707626
        2006;           4;     26.4693069;    483.8141785;     82.7912979;     38.8236961;    115.6483154;     23.9656944;     17.8317242;   1280.6225586;    219.1428223;    102.7636337;    306.1130676;     63.4355316;     47.1993370
        2006;           5;     51.8022995;    483.8141785;     82.7912903;     38.7859077;    115.1822662;     23.9656963;     17.7990589;   2506.2687988;    428.8779297;    200.9199219;    596.6706543;    124.1478195;     92.2032242
        2006;           6;     48.9949493;    483.8141785;     82.7229080;     38.7544289;    115.0759888;     23.9656963;     17.7605953;   2370.4453125;    405.3004761;    189.8771362;    563.8142700;    117.4198151;     87.0179520
        2006;           7;     36.5624008;    483.8141785;     82.6808853;     38.7548561;    115.0604019;     23.9656963;     17.6950207;   1768.9407959;    302.3011475;    141.6970520;    420.6884460;     87.6243362;     64.6972427
        2006;           8;     53.1391335;    483.8141785;     82.6435547;     38.7552567;    115.0534058;     23.9656963;     17.6035271;   2570.9465332;    439.1606750;    205.9420776;    611.3838501;    127.3516312;     93.5436172
        2006;           9;    108.0830002;    483.8141785;     82.6441956;     38.7555542;    115.0570526;     23.9656963;     17.5405960;   5229.2089844;    893.2432861;    418.8816528;   1243.5711670;    259.0284424;    189.5840302
        2006;          10;    324.8505859;    483.8141785;     82.6451263;     38.7559814;    115.0623398;     23.9656963;     17.4769840;  15716.7314453;   2684.7316895;   1258.9903564;   3737.8066406;    778.5270386;    567.7408447
        2006;          11;    125.1276245;    483.8141785;     81.7188568;     38.6594200;    114.0770111;     23.9656944;     17.4908352;   6053.8515625;   1022.5286255;    483.7361145;   1427.4184570;    299.8770447;    218.8586578
        2006;          12;     46.9228592;    484.4049377;     82.8549805;     39.1968956;    115.5824432;     23.9779854;     17.6206932;   2272.9665527;    388.7792664;    183.9230499;    542.3458862;    112.5115662;     82.6813354
