Pool = mol/m²;;Decomp = mmol/m²/time step;
;
;;Residue+L1+L2+L3;;;;;;;;;;;;;;;;;;;;;;L1+L2+L3;;;;;;;;;;;;;;;;;;;;;;Layer 1;;;;;;;;;;;;;;;;;;;;;;Layer 2;;;;;;;;;;;;;;;;;;;;;;Layer 3;;;;;;;;;;;;;;;;;;;;;;;
YEAR;Month;C pool;N pool;Ca Pool;Mg pool;K pool;S pool;P pool;N Conc;Ca conc;Mg conc;K Conc;S conc;P Conc;Decomp%C;Decomp%N;Decomp%Ca;Decomp%Mg;Decomp%K;Decomp%S;Decomp%P;Decomp%CO2;Decomp%DOC;C pool;N pool;Ca Pool;Mg pool;K pool;S pool;P pool;N Conc;Ca conc;Mg conc;K Conc;S conc;P Conc;Decomp%C;Decomp%N;Decomp%Ca;Decomp%Mg;Decomp%K;Decomp%S;Decomp%P;Decomp%CO2;Decomp%DOC;C pool;N pool;Ca Pool;Mg pool;K pool;S pool;P pool;N Conc;Ca conc;Mg conc;K Conc;S conc;P Conc;Decomp%C;Decomp%N;Decomp%Ca;Decomp%Mg;Decomp%K;Decomp%S;Decomp%P;Decomp%CO2;Decomp%DOC;C pool;N pool;Ca Pool;Mg pool;K pool;S pool;P pool;N Conc;Ca conc;Mg conc;K Conc;S conc;P Conc;Decomp%C;Decomp%N;Decomp%Ca;Decomp%Mg;Decomp%K;Decomp%S;Decomp%P;Decomp%CO2;Decomp%DOC;C pool;N pool;Ca Pool;Mg pool;K pool;S pool;P pool;N Conc;Ca conc;Mg conc;K Conc;S conc;P Conc;Decomp%C;Decomp%N;Decomp%Ca;Decomp%Mg;Decomp%K;Decomp%S;Decomp%P;Decomp%CO2;Decomp%DOC
        2005;           1;     49.4474869;      1.1043873;      0.3121203;      0.0961140;      0.0570620;      0.0590350;      0.0440531;      0.0223345;      0.0063122;      0.0019438;      0.0011540;      0.0011939;      0.0008909;    211.9204254;      0.9772443;      1.8283706;      0.5632604;      0.3360315;      0.3459668;      0.0259961;     56.4002533;     23.5467167;     49.4474869;      1.1043873;      0.3121203;      0.0961140;      0.0570620;      0.0590350;      0.0440531;      0.0223345;      0.0063122;      0.0019438;      0.0011540;      0.0011939;      0.0008909;    211.9204254;      0.9772443;      1.8283706;      0.5632604;      0.3360315;      0.3459668;      0.0259961;     56.4002533;     23.5467167;     21.1421738;      0.4711963;      0.1336229;      0.0411717;      0.0246109;      0.0252886;      0.0187897;     22.2870312;      6.3202052;      1.9473755;      1.1640649;      1.1961234;      0.8887299;    184.6609192;      0.8069695;      1.5256144;      0.4700708;      0.2809899;      0.2887284;      0.0214528;     36.2080269;     20.5178814;      0.1818815;      0.0045040;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0001902;     24.7633705;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0455647;      1.5008630;      0.0103240;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0002906;      1.1117505;      0.1667626;     28.1234341;      0.6286870;      0.1784975;      0.0549423;      0.0324511;      0.0337463;      0.0250733;     22.3545589;      6.3469310;      1.9536121;      1.1538819;      1.1999362;      0.8915433;     25.7586403;      0.1599509;      0.3027562;      0.0931896;      0.0550415;      0.0572384;      0.0042528;     19.0804749;      2.8620715
        2005;           2;     49.4943314;      1.1042552;      0.3105370;      0.0956764;      0.0571499;      0.0587666;      0.0440564;      0.0223107;      0.0062742;      0.0019331;      0.0011547;      0.0011873;      0.0008901;    222.6111145;      1.0272926;      1.8986742;      0.5855170;      0.3534759;      0.3596427;      0.0273415;     60.0436516;     24.7345695;     49.4943314;      1.1042552;      0.3105370;      0.0956764;      0.0571499;      0.0587666;      0.0440564;      0.0223107;      0.0062742;      0.0019331;      0.0011547;      0.0011873;      0.0008901;    222.6111145;      1.0272926;      1.8986742;      0.5855170;      0.3534759;      0.3596427;      0.0273415;     60.0436516;     24.7345695;     21.0490608;      0.4674502;      0.1323558;      0.0408314;      0.0247562;      0.0250801;      0.0186375;     22.2076530;      6.2879672;      1.9398227;      1.1761210;      1.1915057;      0.8854326;    192.5109711;      0.8382779;      1.5823566;      0.4881532;      0.2959689;      0.2998405;      0.0222818;     37.7472496;     21.3901100;      0.3684950;      0.0091085;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0003846;     24.7180195;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0435700;      3.1846347;      0.0218661;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0006154;      2.3589888;      0.3538483;     28.0767765;      0.6276966;      0.1781812;      0.0548449;      0.0323936;      0.0336865;      0.0250344;     22.3564339;      6.3462119;      1.9533908;      1.1537513;      1.1998003;      0.8916393;     26.9155045;      0.1671485;      0.3163176;      0.0973639;      0.0575070;      0.0598023;      0.0044442;     19.9374123;      2.9906118
        2005;           3;     49.5114136;      1.1036067;      0.3084613;      0.0950869;      0.0571461;      0.0584050;      0.0440423;      0.0222899;      0.0062301;      0.0019205;      0.0011542;      0.0011796;      0.0008895;    284.6784363;      1.3158011;      2.3957484;      0.7395759;      0.4518372;      0.4542773;      0.0350432;     78.0496521;     31.6309376;     49.5114136;      1.1036067;      0.3084613;      0.0950869;      0.0571461;      0.0584050;      0.0440423;      0.0222899;      0.0062301;      0.0019205;      0.0011542;      0.0011796;      0.0008895;    284.6784363;      1.3158011;      2.3957484;      0.7395759;      0.4518372;      0.4542773;      0.0350432;     78.0496521;     31.6309376;     20.8912354;      0.4622671;      0.1306818;      0.0403656;      0.0248255;      0.0247944;      0.0184281;     22.1273251;      6.2553434;      1.9321795;      1.1883215;      1.1868325;      0.8820959;    243.8635254;      1.0580486;      1.9940524;      0.6159322;      0.3788082;      0.3783336;      0.0281191;     47.8163795;     27.0959473;      0.6000873;      0.0148014;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0006248;     24.6654129;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0412562;      6.6264791;      0.0454014;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0012778;      4.9085035;      0.7362756;     28.0200901;      0.6265382;      0.1777795;      0.0547213;      0.0323206;      0.0336106;      0.0249894;     22.3603191;      6.3447137;      1.9529300;      1.1534790;      1.1995171;      0.8918383;     34.1884384;      0.2123512;      0.4016961;      0.1236438;      0.0730290;      0.0759437;      0.0056464;     25.3247719;      3.7987161
        2005;           4;     49.4691772;      1.1022630;      0.3062506;      0.0944378;      0.0569811;      0.0580066;      0.0440018;      0.0222818;      0.0061907;      0.0019090;      0.0011519;      0.0011726;      0.0008895;    291.1912842;      1.3496702;      2.4219716;      0.7481867;      0.4606805;      0.4595710;      0.0359702;     81.2107849;     32.3545876;     49.4691772;      1.1022630;      0.3062506;      0.0944378;      0.0569811;      0.0580066;      0.0440018;      0.0222818;      0.0061907;      0.0019090;      0.0011519;      0.0011726;      0.0008895;    291.1912842;      1.3496702;      2.4219716;      0.7481867;      0.4606805;      0.4595710;      0.0359702;     81.2107849;     32.3545876;     20.6746941;      0.4563769;      0.1288810;      0.0398427;      0.0247351;      0.0244735;      0.0181914;     22.0741787;      6.2337584;      1.9271225;      1.1963937;      1.1837409;      0.8798882;    246.9171143;      1.0687242;      2.0120547;      0.6220125;      0.3861570;      0.3820731;      0.0283999;     48.4151268;     27.4352398;      0.8296445;      0.0204300;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0008624;     24.6250248;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0394799;      9.3743496;      0.0641232;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0018045;      6.9439631;      1.0415945;     27.9648361;      0.6254560;      0.1773695;      0.0545951;      0.0322461;      0.0335331;      0.0249480;     22.3658028;      6.3425922;      1.9522769;      1.1530932;      1.1991160;      0.8921195;     34.8997955;      0.2168228;      0.4099170;      0.1261742;      0.0745236;      0.0774980;      0.0057657;     25.8516998;      3.8777549
        2005;           5;     49.4838104;      1.1013613;      0.3035917;      0.0936813;      0.0569657;      0.0575425;      0.0439815;      0.0222570;      0.0061352;      0.0018932;      0.0011512;      0.0011629;      0.0008888;    375.7302551;      1.7446539;      3.0723460;      0.9503943;      0.5941857;      0.5837879;      0.0465340;    106.8451080;     41.7478065;     49.4838104;      1.1013613;      0.3035917;      0.0936813;      0.0569657;      0.0575425;      0.0439815;      0.0222570;      0.0061352;      0.0018932;      0.0011512;      0.0011629;      0.0008888;    375.7302551;      1.7446539;      3.0723460;      0.9503943;      0.5941857;      0.5837879;      0.0465340;    106.8451080;     41.7478065;     20.4710503;      0.4497514;      0.1267465;      0.0392475;      0.0248150;      0.0241085;      0.0179238;     21.9701195;      6.1914973;      1.9172218;      1.2121980;      1.1776874;      0.8755659;    314.8255310;      1.3562267;      2.5480282;      0.7890071;      0.4988639;      0.4846615;      0.0360327;     61.7304993;     34.9806175;      1.1143976;      0.0273765;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0011555;     24.5662193;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0368936;     16.2390709;      0.1108146;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0031182;     12.0289412;      1.8043412;     27.8983612;      0.6242332;      0.1768452;      0.0544337;      0.0321507;      0.0334340;      0.0249022;     22.3752651;      6.3389111;      1.9511439;      1.1524239;      1.1984200;      0.8926047;     44.6656494;      0.2776127;      0.5243178;      0.1613872;      0.0953218;      0.0991263;      0.0073831;     33.0856667;      4.9628501
        2005;           6;     49.5003319;      1.1005838;      0.3011885;      0.0929991;      0.0569642;      0.0571240;      0.0439648;      0.0222339;      0.0060846;      0.0018788;      0.0011508;      0.0011540;      0.0008882;    346.9834595;      1.6136712;      2.7942905;      0.8655035;      0.5488951;      0.5316530;      0.0430700;    100.4294128;     38.5537262;     49.5003319;      1.1005838;      0.3011885;      0.0929991;      0.0569642;      0.0571240;      0.0439648;      0.0222339;      0.0060846;      0.0018788;      0.0011508;      0.0011540;      0.0008882;    346.9834595;      1.6136712;      2.7942905;      0.8655035;      0.5488951;      0.5316530;      0.0430700;    100.4294128;     38.5537262;     20.2918472;      0.4438166;      0.1248256;      0.0387139;      0.0249012;      0.0237812;      0.0176839;     21.8716717;      6.1515145;      1.9078544;      1.2271509;      1.1719602;      0.8714764;    287.5091248;      1.2330012;      2.3119173;      0.7170269;      0.4611989;      0.4404566;      0.0327526;     56.3743439;     31.9454632;      1.3679163;      0.0335304;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0014151;     24.5120068;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0345091;     18.3548241;      0.1249760;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0035163;     13.5961676;      2.0394251;     27.8405685;      0.6232368;      0.1763629;      0.0542852;      0.0320630;      0.0333428;      0.0248658;     22.3859234;      6.3347435;      1.9498609;      1.1516662;      1.1976322;      0.8931515;     41.1195068;      0.2556939;      0.4823733;      0.1484765;      0.0876962;      0.0911964;      0.0068011;     30.4588966;      4.5688348
        2005;           7;     49.6286697;      1.1019765;      0.3011968;      0.0930481;      0.0573164;      0.0571545;      0.0440196;      0.0222044;      0.0060690;      0.0018749;      0.0011549;      0.0011516;      0.0008870;     35.3402481;      0.1640157;      0.2834667;      0.0878864;      0.0563282;      0.0539867;      0.0043774;     10.2513657;      3.9266944;     49.6286697;      1.1019765;      0.3011968;      0.0930481;      0.0573164;      0.0571545;      0.0440196;      0.0222044;      0.0060690;      0.0018749;      0.0011549;      0.0011516;      0.0008870;     35.3402481;      0.1640157;      0.2834667;      0.0878864;      0.0563282;      0.0539867;      0.0043774;     10.2513657;      3.9266944;     20.4003563;      0.4446887;      0.1248834;      0.0387781;      0.0252623;      0.0238211;      0.0177161;     21.7980862;      6.1216292;      1.9008530;      1.2383274;      1.1676797;      0.8684199;     29.2412319;      0.1249810;      0.2339921;      0.0726579;      0.0473336;      0.0446332;      0.0033194;      5.7335749;      3.2490258;      1.3936737;      0.0341532;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0014414;     24.5058956;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0342404;      1.8813145;      0.0128065;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0003603;      1.3935664;      0.2090350;     27.8346386;      0.6231346;      0.1763134;      0.0542700;      0.0320540;      0.0333334;      0.0248621;     22.3870182;      6.3343153;      1.9497293;      1.1515884;      1.1975513;      0.8932076;      4.2177029;      0.0262283;      0.0494746;      0.0152285;      0.0089946;      0.0093535;      0.0006976;      3.1242244;      0.4686337
        2005;           8;     49.8419075;      1.1044546;      0.3016206;      0.0932469;      0.0579100;      0.0572772;      0.0441146;      0.0221592;      0.0060515;      0.0018709;      0.0011619;      0.0011492;      0.0008851;      0.0389664;      0.0001801;      0.0003108;      0.0000965;      0.0000628;      0.0000593;      0.0000048;      0.0112746;      0.0043296;     49.8419075;      1.1044546;      0.3016206;      0.0932469;      0.0579100;      0.0572772;      0.0441146;      0.0221592;      0.0060515;      0.0018709;      0.0011619;      0.0011492;      0.0008851;      0.0389664;      0.0001801;      0.0003108;      0.0000965;      0.0000628;      0.0000593;      0.0000048;      0.0112746;      0.0043296;     20.6135731;      0.4471663;      0.1253073;      0.0389769;      0.0258560;      0.0239438;      0.0178111;     21.6928062;      6.0788722;      1.8908359;      1.2543172;      1.1615552;      0.8640468;      0.0322942;      0.0001374;      0.0002566;      0.0000798;      0.0000530;      0.0000490;      0.0000036;      0.0063322;      0.0035882;      1.3937021;      0.0341539;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0014414;     24.5058880;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0342400;      0.0020550;      0.0000140;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000004;      0.0015222;      0.0002283;     27.8346329;      0.6231344;      0.1763133;      0.0542700;      0.0320540;      0.0333334;      0.0248621;     22.3870182;      6.3343148;      1.9497292;      1.1515884;      1.1975511;      0.8932077;      0.0046172;      0.0000287;      0.0000542;      0.0000167;      0.0000098;      0.0000102;      0.0000008;      0.0034202;      0.0005130
        2005;           9;     50.1235199;      1.1069508;      0.3001904;      0.0929374;      0.0586387;      0.0570883;      0.0442214;      0.0220845;      0.0059890;      0.0018542;      0.0011699;      0.0011390;      0.0008822;    293.4880981;      1.3499284;      2.2928860;      0.7139596;      0.4788327;      0.4385976;      0.0360343;     85.6440811;     32.6097946;     50.1235199;      1.1069508;      0.3001904;      0.0929374;      0.0586387;      0.0570883;      0.0442214;      0.0220845;      0.0059890;      0.0018542;      0.0011699;      0.0011390;      0.0008822;    293.4880981;      1.3499284;      2.2928860;      0.7139596;      0.4788327;      0.4385976;      0.0360343;     85.6440811;     32.6097946;     20.7311211;      0.4454135;      0.1242744;      0.0387898;      0.0266569;      0.0238300;      0.0177339;     21.4852581;      5.9945803;      1.8710879;      1.2858403;      1.1494812;      0.8554254;    241.9013062;      1.0190809;      1.8955516;      0.5916584;      0.4065967;      0.3634785;      0.0270495;     47.4316330;     26.8779278;      1.6028395;      0.0391289;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0016511;     24.4122143;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0301200;     17.6925411;      0.1199761;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0033751;     13.1055861;      1.9658381;     27.7895584;      0.6224084;      0.1759160;      0.0541477;      0.0319818;      0.0332583;      0.0248364;     22.3972073;      6.3302908;      1.9484906;      1.1508567;      1.1967903;      0.8937308;     33.8942642;      0.2108714;      0.3973344;      0.1223012;      0.0722360;      0.0751191;      0.0056097;     25.1068630;      3.7660294
        2005;          10;     51.2606468;      1.1193787;      0.3003513;      0.0933896;      0.0617114;      0.0573696;      0.0447102;      0.0218370;      0.0058593;      0.0018219;      0.0012039;      0.0011192;      0.0008722;    324.5901794;      1.4626184;      2.4318066;      0.7636796;      0.5566975;      0.4691988;      0.0390286;     94.7524643;     36.0655785;     51.2606468;      1.1193787;      0.3003513;      0.0933896;      0.0617114;      0.0573696;      0.0447102;      0.0218370;      0.0058593;      0.0018219;      0.0012039;      0.0011192;      0.0008722;    324.5901794;      1.4626184;      2.4318066;      0.7636796;      0.5566975;      0.4691988;      0.0390286;     94.7524643;     36.0655785;     21.6851692;      0.4532567;      0.1248540;      0.0393708;      0.0298057;      0.0241905;      0.0180244;     20.9016914;      5.7575755;      1.8155622;      1.3744739;      1.1155329;      0.8311849;    267.4771118;      1.0962205;      2.0130975;      0.6347992;      0.4805756;      0.3900386;      0.0290618;     52.4464951;     29.7196808;      1.8307463;      0.0443815;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0018722;     24.2423000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0226469;     21.3679810;      0.1438914;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0040466;     15.8281345;      2.3742204;     27.7447319;      0.6217405;      0.1754973;      0.0540188;      0.0319057;      0.0331791;      0.0248136;     22.4093170;      6.3254271;      1.9469935;      1.1499724;      1.1958708;      0.8943537;     35.7450829;      0.2225064;      0.4187091;      0.1288805;      0.0761220;      0.0791602;      0.0059201;     26.4778385;      3.9716759
        2005;          11;     51.6371651;      1.1231804;      0.2995503;      0.0932909;      0.0626837;      0.0573104;      0.0448651;      0.0217514;      0.0058011;      0.0018067;      0.0012139;      0.0011099;      0.0008689;    244.6188965;      1.0958893;      1.7996612;      0.5669650;      0.4256152;      0.3483547;      0.0292458;     71.8703461;     27.1798782;     51.6371651;      1.1231804;      0.2995503;      0.0932909;      0.0626837;      0.0573104;      0.0448651;      0.0217514;      0.0058011;      0.0018067;      0.0012139;      0.0011099;      0.0008689;    244.6188965;      1.0958893;      1.7996612;      0.5669650;      0.4256152;      0.3483547;      0.0292458;     71.8703461;     27.1798782;     21.9249420;      0.4536636;      0.1243643;      0.0393680;      0.0308347;      0.0241901;      0.0180324;     20.6916656;      5.6722770;      1.7955782;      1.4063737;      1.1033146;      0.8224606;    200.7277527;      0.8143906;      1.4883444;      0.4711404;      0.3690173;      0.2894979;      0.0215805;     39.3583832;     22.3030834;      1.9994416;      0.0482238;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0020338;     24.1186333;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0172079;     17.2975502;      0.1158871;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0032584;     12.8130026;      1.9219503;     27.7127819;      0.6212931;      0.1751860;      0.0539230;      0.0318491;      0.0331203;      0.0247989;     22.4190063;      6.3214860;      1.9457805;      1.1492559;      1.1951257;      0.8948528;     26.5935974;      0.1656117;      0.3113168;      0.0958247;      0.0565979;      0.0588568;      0.0044069;     19.6989632;      2.9548445
        2005;          12;     51.7147980;      1.1235870;      0.2983613;      0.0929734;      0.0628338;      0.0571158;      0.0448887;      0.0217266;      0.0057694;      0.0017978;      0.0012150;      0.0011044;      0.0008680;    214.6116943;      0.9609905;      1.5635543;      0.4931588;      0.3741374;      0.3030118;      0.0256531;     63.5758438;     23.8457451;     51.7147980;      1.1235870;      0.2983613;      0.0929734;      0.0628338;      0.0571158;      0.0448887;      0.0217266;      0.0057694;      0.0017978;      0.0012150;      0.0011044;      0.0008680;    214.6116943;      0.9609905;      1.5635543;      0.4931588;      0.3741374;      0.3030118;      0.0256531;     63.5758438;     23.8457451;     21.8843021;      0.4511324;      0.1234474;      0.0391342;      0.0310342;      0.0240469;      0.0179288;     20.6144295;      5.6409092;      1.7882295;      1.4181046;      1.0988216;      0.8192523;    175.1466675;      0.7079508;      1.2914857;      0.4094150;      0.3246749;      0.2515751;      0.0187568;     34.3424835;     19.4607410;      2.1445687;      0.0515144;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0021723;     24.0208797;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0129085;     16.2105331;      0.1081643;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0030407;     12.0078039;      1.8011706;     27.6859283;      0.6209401;      0.1749139;      0.0538392;      0.0317996;      0.0330688;      0.0247877;     22.4280052;      6.3177905;      1.9446429;      1.1485840;      1.1944271;      0.8953166;     23.2544937;      0.1448756;      0.2720686;      0.0837439;      0.0494625;      0.0514367;      0.0038556;     17.2255535;      2.5838330
        2006;           1;     51.7226486;      1.1231089;      0.2968268;      0.0925310;      0.0627809;      0.0568443;      0.0448797;      0.0217141;      0.0057388;      0.0017890;      0.0012138;      0.0010990;      0.0008677;    250.6004791;      1.1230348;      1.8083278;      0.5708486;      0.4363817;      0.3507510;      0.0299905;     74.9796524;     27.8444977;     51.7226486;      1.1231089;      0.2968268;      0.0925310;      0.0627809;      0.0568443;      0.0448797;      0.0217141;      0.0057388;      0.0017890;      0.0012138;      0.0010990;      0.0008677;    250.6004791;      1.1230348;      1.8083278;      0.5708486;      0.4363817;      0.3507510;      0.0299905;     74.9796524;     27.8444977;     21.7564793;      0.4472737;      0.1222294;      0.0387891;      0.0310388;      0.0238353;      0.0177732;     20.5581856;      5.6180668;      1.7828780;      1.4266473;      1.0955498;      0.8169161;    203.1540070;      0.8189173;      1.4919384;      0.4734625;      0.3788616;      0.2909351;      0.0216941;     39.8341217;     22.5726681;      2.3099749;      0.0552521;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0023294;     23.9189072;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0084234;     20.3838272;      0.1354330;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0038066;     15.0991316;      2.2648699;     27.6561966;      0.6205831;      0.1745975;      0.0537419;      0.0317421;      0.0330090;      0.0247770;     22.4392033;      6.3131423;      1.9432123;      1.1477392;      1.1935484;      0.8958945;     27.0626411;      0.1686845;      0.3163894;      0.0973860;      0.0575201;      0.0598159;      0.0044899;     20.0464001;      3.0069602
        2006;           2;     51.7663269;      1.1230974;      0.2954958;      0.0921604;      0.0628346;      0.0566170;      0.0448851;      0.0216955;      0.0057083;      0.0017803;      0.0012138;      0.0010937;      0.0008671;    231.9647675;      1.0395904;      1.6581161;      0.5239652;      0.4041781;      0.3219487;      0.0277679;     70.0094681;     25.7738647;     51.7663269;      1.1230974;      0.2954958;      0.0921604;      0.0628346;      0.0566170;      0.0448851;      0.0216955;      0.0057083;      0.0017803;      0.0012138;      0.0010937;      0.0008671;    231.9647675;      1.0395904;      1.6581161;      0.5239652;      0.4041781;      0.3219487;      0.0277679;     70.0094681;     25.7738647;     21.6765709;      0.4441777;      0.1211902;      0.0385084;      0.0311455;      0.0236632;      0.0176449;     20.4911442;      5.5908394;      1.7764992;      1.4368293;      1.0916498;      0.8140064;    186.9347076;      0.7510797;      1.3661726;      0.4341038;      0.3511024;      0.2667546;      0.0198910;     36.6538658;     20.7705250;      2.4597979;      0.0586237;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0024712;     23.8327370;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0046226;     20.0403252;      0.1326711;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0037283;     14.8446875;      2.2267032;     27.6299591;      0.6202959;      0.1743056;      0.0536520;      0.0316890;      0.0329538;      0.0247691;     22.4501209;      6.3085709;      1.9418051;      1.1469080;      1.1926841;      0.8964581;     24.9897308;      0.1558396;      0.2919435;      0.0898615;      0.0530758;      0.0551942;      0.0041486;     18.5109119;      2.7766368
        2006;           3;     51.8000107;      1.1229285;      0.2940248;      0.0917457;      0.0628553;      0.0563627;      0.0448853;      0.0216782;      0.0056762;      0.0017712;      0.0012134;      0.0010881;      0.0008665;    254.8051605;      1.1422033;      1.8030603;      0.5703629;      0.4440086;      0.3504628;      0.0305160;     77.6135864;     28.3116856;     51.8000107;      1.1229285;      0.2940248;      0.0917457;      0.0628553;      0.0563627;      0.0448853;      0.0216782;      0.0056762;      0.0017712;      0.0012134;      0.0010881;      0.0008665;    254.8051605;      1.1422033;      1.8030603;      0.5703629;      0.4440086;      0.3504628;      0.0305160;     77.6135864;     28.3116856;     21.5768127;      0.4406709;      0.1200384;      0.0381920;      0.0312244;      0.0234692;      0.0175001;     20.4233551;      5.5633078;      1.7700490;      1.4471253;      1.0877061;      0.8110613;    204.0364685;      0.8170803;      1.4838139;      0.4720974;      0.3859691;      0.2901068;      0.0216322;     40.0071487;     22.6707191;      2.6204662;      0.0622240;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0026225;     23.7454090;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0007596;     23.4187279;      0.1544687;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0043401;     17.3472061;      2.6020811;     27.6027298;      0.6200336;      0.1739863;      0.0535537;      0.0316310;      0.0328935;      0.0247627;     22.4627609;      6.3032284;      1.9401606;      1.1459368;      1.1916741;      0.8971115;     27.3499660;      0.1706544;      0.3192465;      0.0982654;      0.0580395;      0.0603560;      0.0045437;     20.2592354;      3.0388854
        2006;           4;     51.7430038;      1.1215794;      0.2920200;      0.0911445;      0.0626102;      0.0559936;      0.0448435;      0.0216760;      0.0056437;      0.0017615;      0.0012100;      0.0010821;      0.0008667;    317.5351562;      1.4261577;      2.2238910;      0.7039573;      0.5512050;      0.4325549;      0.0381187;     97.9042206;     35.2816811;     51.7430038;      1.1215794;      0.2920200;      0.0911445;      0.0626102;      0.0559936;      0.0448435;      0.0216760;      0.0056437;      0.0017615;      0.0012100;      0.0010821;      0.0008667;    317.5351562;      1.4261577;      2.2238910;      0.7039573;      0.5512050;      0.4325549;      0.0381187;     97.9042206;     35.2816811;     21.3574677;      0.4352360;      0.1184303;      0.0377129;      0.0310514;      0.0231751;      0.0172807;     20.3786335;      5.5451455;      1.7657938;      1.4538876;      1.0851046;      0.8091167;    252.0956421;      1.0073265;      1.8273294;      0.5818940;      0.4791095;      0.3575819;      0.0266634;     49.4305191;     28.0106258;      2.8143632;      0.0665559;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0028044;     23.6486549;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.9964719;     31.4272366;      0.2064478;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0057993;     23.2794361;      3.4919155;     27.5711708;      0.6197875;      0.1735898;      0.0534317;      0.0315589;      0.0328185;      0.0247584;     22.4795513;      6.2960601;      1.9379542;      1.1446337;      1.1903188;      0.8979800;     34.0122643;      0.2123835;      0.3965616;      0.1220634;      0.0720955;      0.0749730;      0.0056560;     25.1942692;      3.7791405
