 ;;Foliage;;;;;;;;;;;;;Wood;;;;;;;;;;;;;
YEAR;Month;Dry weight;N µmol/g;Ca µmol/g;Mg µmol/g;K µmol/g;S µmol/g;P µmol/g;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;Dry weight;N µmol/g;Ca µmol/g;Mg µmol/g;K µmol/g;S µmol/g;P µmol/g;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha
        2010;          11;   7232.2460938;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     92.4726028;     23.9973869;      6.8244190;     32.7709007;      5.5576906;      9.4465532; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2010;          12;   7399.5922852;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.6123199;     24.5526581;      6.9823289;     33.5291786;      5.6862898;      9.6651363; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           1;   7429.1997070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.9908905;     24.6509018;      7.0102668;     33.6633415;      5.7090421;      9.7038088; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           2;   7415.4687500;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8153152;     24.6053391;      6.9973097;     33.6011200;      5.6984897;      9.6858740; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           3;   7414.1816406;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.7988663;     24.6010666;      6.9960957;     33.5952873;      5.6975012;      9.6841917; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           4;   7443.3598633;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     95.1719360;     24.6978874;      7.0236287;     33.7275009;      5.7199235;      9.7223034; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           5;   7389.1508789;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4788132;     24.5180130;      6.9724770;     33.4818687;      5.6782656;      9.6514978; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           6;   7395.1586914;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.5556412;     24.5379505;      6.9781451;     33.5090904;      5.6828828;      9.6593456; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           7;   7421.7622070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8957901;     24.6262226;      7.0032477;     33.6296349;      5.7033267;      9.6940937; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           8;   7386.2900391;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4422455;     24.5085239;      6.9697766;     33.4689064;      5.6760674;      9.6477613; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;           9;   7268.7187500;    912.8572388;     82.7913055;     38.8236961;    115.8930130;     23.9656925;     42.1702042;     92.9389496;     24.1184063;      6.8588352;     32.9361610;      5.5857191;      9.4941931; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;          10;   6804.8701172;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     87.0081100;     22.5793056;      6.4211431;     30.8343639;      5.2292695;      8.8883266; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;          11;   7232.2460938;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     92.4726028;     23.9973869;      6.8244190;     32.7709007;      5.5576906;      9.4465532; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2011;          12;   7399.5922852;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.6123199;     24.5526581;      6.9823289;     33.5291786;      5.6862898;      9.6651363; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           1;   7429.1997070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.9908905;     24.6509018;      7.0102668;     33.6633415;      5.7090421;      9.7038088; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           2;   7415.4687500;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8153152;     24.6053391;      6.9973097;     33.6011200;      5.6984897;      9.6858740; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           3;   7414.1816406;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.7988663;     24.6010666;      6.9960957;     33.5952873;      5.6975012;      9.6841917; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           4;   7443.3598633;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     95.1719360;     24.6978874;      7.0236287;     33.7275009;      5.7199235;      9.7223034; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           5;   7389.1508789;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4788132;     24.5180130;      6.9724770;     33.4818687;      5.6782656;      9.6514978; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           6;   7395.1586914;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.5556412;     24.5379505;      6.9781451;     33.5090904;      5.6828828;      9.6593456; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           7;   7421.7622070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8957901;     24.6262226;      7.0032477;     33.6296349;      5.7033267;      9.6940937; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           8;   7386.2900391;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4422455;     24.5085239;      6.9697766;     33.4689064;      5.6760674;      9.6477613; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;           9;   7268.7187500;    912.8572388;     82.7913055;     38.8236961;    115.8930130;     23.9656925;     42.1702042;     92.9389496;     24.1184063;      6.8588352;     32.9361610;      5.5857191;      9.4941931; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;          10;   6804.8701172;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     87.0081100;     22.5793056;      6.4211431;     30.8343639;      5.2292695;      8.8883266; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;          11;   7232.2460938;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     92.4726028;     23.9973869;      6.8244190;     32.7709007;      5.5576906;      9.4465532; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2012;          12;   7399.5922852;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.6123199;     24.5526581;      6.9823289;     33.5291786;      5.6862898;      9.6651363; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           1;   7429.1997070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.9908905;     24.6509018;      7.0102668;     33.6633415;      5.7090421;      9.7038088; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           2;   7415.4687500;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8153152;     24.6053391;      6.9973097;     33.6011200;      5.6984897;      9.6858740; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           3;   7414.1816406;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.7988663;     24.6010666;      6.9960957;     33.5952873;      5.6975012;      9.6841917; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           4;   7443.3598633;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     95.1719360;     24.6978874;      7.0236287;     33.7275009;      5.7199235;      9.7223034; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           5;   7389.1508789;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4788132;     24.5180130;      6.9724770;     33.4818687;      5.6782656;      9.6514978; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           6;   7395.1586914;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.5556412;     24.5379505;      6.9781451;     33.5090904;      5.6828828;      9.6593456; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           7;   7421.7622070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8957901;     24.6262226;      7.0032477;     33.6296349;      5.7033267;      9.6940937; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           8;   7386.2900391;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4422455;     24.5085239;      6.9697766;     33.4689064;      5.6760674;      9.6477613; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;           9;   7268.7187500;    912.8572388;     82.7913055;     38.8236961;    115.8930130;     23.9656925;     42.1702042;     92.9389496;     24.1184063;      6.8588352;     32.9361610;      5.5857191;      9.4941931; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;          10;   6804.8701172;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     87.0081100;     22.5793056;      6.4211431;     30.8343639;      5.2292695;      8.8883266; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;          11;   7232.2460938;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     92.4726028;     23.9973869;      6.8244190;     32.7709007;      5.5576906;      9.4465532; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2013;          12;   7399.5922852;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.6123199;     24.5526581;      6.9823289;     33.5291786;      5.6862898;      9.6651363; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           1;   7429.1997070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.9908905;     24.6509018;      7.0102668;     33.6633415;      5.7090421;      9.7038088; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           2;   7415.4687500;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8153152;     24.6053391;      6.9973097;     33.6011200;      5.6984897;      9.6858740; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           3;   7414.1816406;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.7988663;     24.6010666;      6.9960957;     33.5952873;      5.6975012;      9.6841917; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           4;   7443.3598633;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     95.1719360;     24.6978874;      7.0236287;     33.7275009;      5.7199235;      9.7223034; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           5;   7389.1508789;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4788132;     24.5180130;      6.9724770;     33.4818687;      5.6782656;      9.6514978; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           6;   7395.1586914;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.5556412;     24.5379505;      6.9781451;     33.5090904;      5.6828828;      9.6593456; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           7;   7421.7622070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8957901;     24.6262226;      7.0032477;     33.6296349;      5.7033267;      9.6940937; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           8;   7386.2900391;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4422455;     24.5085239;      6.9697766;     33.4689064;      5.6760674;      9.6477613; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;           9;   7268.7187500;    912.8572388;     82.7913055;     38.8236961;    115.8930130;     23.9656925;     42.1702042;     92.9389496;     24.1184063;      6.8588352;     32.9361610;      5.5857191;      9.4941931; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;          10;   6804.8701172;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     87.0081100;     22.5793056;      6.4211431;     30.8343639;      5.2292695;      8.8883266; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;          11;   7232.2460938;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     92.4726028;     23.9973869;      6.8244190;     32.7709007;      5.5576906;      9.4465532; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2014;          12;   7399.5922852;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.6123199;     24.5526581;      6.9823289;     33.5291786;      5.6862898;      9.6651363; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           1;   7429.1997070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.9908905;     24.6509018;      7.0102668;     33.6633415;      5.7090421;      9.7038088; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           2;   7415.4687500;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8153152;     24.6053391;      6.9973097;     33.6011200;      5.6984897;      9.6858740; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           3;   7414.1816406;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.7988663;     24.6010666;      6.9960957;     33.5952873;      5.6975012;      9.6841917; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           4;   7443.3598633;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     95.1719360;     24.6978874;      7.0236287;     33.7275009;      5.7199235;      9.7223034; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           5;   7389.1508789;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4788132;     24.5180130;      6.9724770;     33.4818687;      5.6782656;      9.6514978; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           6;   7395.1586914;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.5556412;     24.5379505;      6.9781451;     33.5090904;      5.6828828;      9.6593456; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           7;   7421.7622070;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.8957901;     24.6262226;      7.0032477;     33.6296349;      5.7033267;      9.6940937; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           8;   7386.2900391;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.4422455;     24.5085239;      6.9697766;     33.4689064;      5.6760674;      9.6477613; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;           9;   7268.7187500;    912.8572388;     82.7913055;     38.8236961;    115.8930130;     23.9656925;     42.1702042;     92.9389496;     24.1184063;      6.8588352;     32.9361610;      5.5857191;      9.4941931; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;          10;   6804.8701172;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     87.0081100;     22.5793056;      6.4211431;     30.8343639;      5.2292695;      8.8883266; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;          11;   7232.2460938;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     92.4726028;     23.9973869;      6.8244190;     32.7709007;      5.5576906;      9.4465532; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
        2015;          12;   7399.5922852;    912.8572388;     82.7913055;     38.8236961;    115.8930206;     23.9656925;     42.1702042;     94.6123199;     24.5526581;      6.9823289;     33.5291786;      5.6862898;      9.6651363; 108459.4375000;     48.4686127;     19.2146511;      4.2338419;     12.3673935;      2.0495658;      3.3334391;     73.6317215;     83.5229568;     11.1608572;     52.4449158;      7.1278806;     11.1983585
